platform,komentar,timestamp,komentar_clean
YouTube,Bang tolong angkat kasus pembunuhan seorang anak berusia 14 tahun di Maumere NTT. Banyak sekali kejanggalan dalam kasusnya & kinerja dari kepolisian dinilai cukup lambat ,2026-04-18 12:13:34,bang angkat kasus bunuh orang anak usia tahun maumere ntt banyak sekali janggal kasus kerja polisi nilai cukup lambat
YouTube,keren bang amsal proud of you. 1 kata 'mafia' peradilan harus di LAWAN !,2026-04-18 12:13:34,keren bang amsal proud of you kata mafia adil di lawan
YouTube,"Ngorbanin orang,, eh malah salah orang... ",2026-04-18 12:13:34,ngorbanin orang eh malah salah orang
YouTube,"Kerjaan Oknum JAK*A ya gitu, tersangka in aja dulu bukti kebelakang , urusan kerugian negara dia panggil ahli dari pasar Pramuka ",2026-04-18 12:13:34,kerja oknum jaka gitu sangka in aja dulu bukti belakang urus rugi negara panggil ahli pasar pramuka
YouTube,"Status jaksa dan polisi itu sama, nyari kasus buat naik pangkat. Memang apes, pasti dicari2 kesalahan Kita yang ngak ngerti masalah hukum pasti dimakan mereka",2026-04-18 12:13:34,status jaksa polisi sama nyari kasus buat naik pangkat memang apes cari salah yang ngak ngerti masalah hukum makan
YouTube,"Kebangetan klau jaksa begitu tidak di pecat,bagaimana buat rakyat yg buta hukum di perlakukan seperti itu,tidak ada perkara di bikin perkara",2026-04-18 12:13:34,banget klau jaksa tidak pecatbagaimana buat rakyat yg buta hukum laku itutidak perkara bikin perkara
YouTube,"Udah separah itu cerita nya, pun dia tetap bilang 'semuanya mendatangkan kebaikan'. Hebat kau Bang!",2026-04-18 12:13:34,udah parah cerita nya dia tetap bilang semua datang baik hebat kau bang
YouTube,Hukum kalau gak viral gak tajam akan tumpul jika tidak diviralkan,2026-04-18 12:13:34,hukum kalau gak viral gak tajam tumpul tidak diviralkan
YouTube,Tuhan pakai abang untuk buka kebusukan kejaksaan. God bless you abang amsal,2026-04-18 12:13:34,tuhan pakai abang buka busuk jaksa god bless you abang amsal
YouTube,"Ayo goreng terus netizen , ini baru gorengan yg baik untuk semua = ""keadilan""",2026-04-18 12:13:34,ayo goreng terus netizen baru goreng yg baik semua adil
YouTube,"Dengan seorang Amsal bisa mengalahkan orang2 yang menganggap dirinya paling pintar, paling benar dan paling bisa mengintimidasi orang....  Bravo buat bang Amsal... Anda orang yang pintar dan orang yang sangat diberkati Tuhan...",2026-04-18 12:13:34,orang amsal kalah orang anggap diri paling pintar paling benar paling intimidasi orang bravo buat bang amsal orang pintar orang sangat kati tuhan
YouTube,Memang susah kalau kerja sama dengan pemerintah Apalagi kalau di daerah,2026-04-18 12:13:34,memang susah kalau kerja sama perintah kalau daerah
YouTube,Dari podcast ini terlihat jelas Amsal sitepu ini orang yang baik,2026-04-18 12:13:34,podcast lihat jelas amsal sitepu orang baik
YouTube,Moga Jaksa Indonesia sadar tidak selalu mengumpulkan harta yg haram,2026-04-18 12:13:34,moga jaksa indonesia sadar selalu kumpul harta yg haram
YouTube,Jaksanya asli pasti ga sekolah ,2026-04-18 12:13:34,jaksa asli ga sekolah
YouTube,Hati mu sangat bersih dan besar bang  Kata2 mu dan sikapmu menunjukkan kasih Kristus  Tuhan Yesus selalu menyertai dan memberkati  Sangat terberkati  Mejuah juah ,2026-04-18 12:13:34,hati mu sangat bersih besar bang kata mu sikap tunjuk kasih kristus tuhan yesus selalu serta kati sangat kati mejuah juah
YouTube,Rencana tuhan adalah membongkar para penjahat keadilan,2026-04-18 12:13:34,rencana tuhan bongkar jahat adil
YouTube,"Baik lho  bang Amsal ini, semoga perjuangan nya membuahkan hasil, demi kebaikan di negri ini. Semoga di berkati.",2026-04-18 12:13:34,baik lho bang amsal moga juang nya buah hasil baik negri moga berkat
YouTube,Sebagai istri org karo .. aku sangat tahu .. org karo sbnrnya sangat cinta dgn adat istiadat nya .  Dan mereka gk mau sejarah mereka hilang .. krn mereka sgt menghargai sejarah suku mereka .. keren bgt bang Amsal klo bs semua kabupaten karo bs mendokumentasikan sejarah setiap daerah ..,2026-04-18 12:13:34,istri org karo aku sangat tahu org karo sbnrnya sangat cinta dgn adat istiadat nya gk mau sejarah hilang krn sgt harga sejarah suku mereka keren bgt bang amsal klo bs semua kabupaten karo bs dokumentasi sejarah daerah
YouTube,Sumut memang separah itu. Bergeraklah kpk.,2026-04-18 12:13:34,sumut memang parah gerak kpk
YouTube,Pertolongan Tuhan Yesus tepat pada waktunya,2026-04-18 12:13:34,tolong tuhan yesus tepat waktu
YouTube,"Teruntuk amsal Sitepu, anda sudah banyak sekali dukungan, sudah mendapatkan keadilan, rakyat sudah mengetahui rusaknya kejaksaan, dan aparat Kejari pun sudah di antar Kejati Sumut ke Kejagung jangan mau di undang lagi ke podcast,takut nya masyarakat menjadi apatis. Merdeka!",2026-04-18 12:13:34,untuk amsal sitepu banyak sekali dukung dapat adil rakyat sudah tahu rusak jaksa aparat kejar sudah antar kejat sumut jagung jangan mau undang ke podcasttakut nya masyarakat jadi apatis merdeka
YouTube,Harusnya dlm pendidikan penegak hukum ada masa orientasi selama seminggu hidup bersama para tahanan. Biar mereka tahu susahnya hidup dipenjara & mereka tak semena mena memenjarakan orang tak bersalah,2026-04-18 12:13:34,harus dlm didik tegak hukum masa orientasi lama minggu hidup sama tahan biar tahu susah hidup penjara tak semena mena penjara orang tak salah
YouTube,"Gila sih, bagaimana bisa seorang auditor atau jaksa menilai proses kreatif seperti dabbing dan konsep itu harganya nol? Kalau memang menganggap editing itu gratis, kenapa tidak dikerjakan sendiri saja dari awal?",2026-04-18 12:13:34,gila sih bagaimana orang auditor jaksa nilai proses kreatif dabbing konsep harga nol kalau memang anggap editing gratis tidak kerja sendiri dari awal
YouTube,Bayangin seberapa banyak orang2 kaya beliau yg masih ada di dalam sana karna gak viral spt ini,2026-04-18 12:13:34,bayangin berapa banyak orang kaya beliau yg ada dalam sana karna gak viral spt
YouTube,Selama kita benar Tuhan pasti bersama kita,2026-04-18 12:13:34,lama benar tuhan sama
YouTube,Terima kasih bang densu...sudah menghadirkan bang amsal sitepu jdi kami belajar...dan ada pelajaran yg baik ....biarlah penegakan hukum di indo ini makin tranprn.tidak malu mengakui kekeliruan.untuk perbaikan kedepan,2026-04-18 12:13:34,terima kasih bang densusudah hadir bang amsal sitepu jdi belajardan ajar yg baik biar tega hukum indo makin tranprntidak malu aku kekeliruanuntuk baik depan
YouTube,"alhamdulillah udah bebas! miris banget, tapi ini juga pengalihan isu air keras",2026-04-18 12:13:34,alhamdulillah udah bebas miris banget ini alih isu air keras
YouTube,"Najis banget itu tim kejaksaan. Pasang muka baik, begitu keinginannya nggak terpenuhi langsung fitnah orang sembarangan. Ya Allah dzalimnya.",2026-04-18 12:13:34,najis banget tim jaksa pasang muka baik ingin penuh langsung fitnah orang sembarang allah dzalimnya
YouTube,Aku ngikutin abg ini dr sbelum di tahan.. kasian bgt dia.. puji Tuhan sekrg ada titik terang,2026-04-18 12:13:34,aku ngikutin abg dr sbelum tahan kasi bgt puji tuhan sekrg titik terang
YouTube,Harus ada efek jera.....supaya tidak terulang..rakyat yg menderita... Ditindas bangsa sendiri(pejabat/penguasa),2026-04-18 12:13:34,ada efek jerasupaya terulangrakyat yg derita tindas bangsa sendiripejabatpenguasa
YouTube,"Jaksanya sdg mencari mangsa agar terlihat namanya  melejit,maklum jaksa baru hrs ada yg d korbankan agar dpt nama",2026-04-18 12:13:34,jaksa sdg cari mangsa lihat nama melejitmaklum jaksa baru hrs yg d korban dpt nama
YouTube,"Jadi siap² yg bekerja sama dengan pemerintah konoha siap saja nanti di ""Kriminalisasi"" bukan sekarang tapi nanti sewaktu².",2026-04-18 12:13:34,jadi siap yg kerja sama perintah konoha siap nanti kriminalisasi bukan sekarang nanti waktu
YouTube,"Dari sini kita bisa belajar bahwa pengetahuan yang kita punya bisa menentang dan melawan oknum yg suka memainkan undang undang dan hukum di negara ini, agar bisa melawan oknum yang tidak bertanggung jawab di negri Indonesia 🇮🇩 tercinta ini , kita harus lebih pintar mulai sekarNg, semangat anak anak Indonesia ",2026-04-18 12:13:34,sini ajar tahu kita punya tentang lawan oknum yg suka main undang undang hukum negara agar bisa lawan oknum tidak tanggung jawab negri indonesia cinta kita lebih pintar mulai sekarng semangat anak anak indonesia
YouTube,Terlihat jelas abang ini bukan sekedar cerdas tapi abang ini orang baik dan jujur. Penjara tempat orang kalah yg belum tentu bersalah. Keren bang  GBU Amsal Sitepu.,2026-04-18 12:13:34,lihat jelas abang bukan dar cerdas abang orang baik jujur penjara tempat orang kalah yg tentu salah keren bang gbu amsal sitepu
YouTube,"Ini salah satu contoh dari kasus di masyarakat. Ada org yg diminta menghitung sesuatu yg bukan kompetensinya sehingga mengakibatkan hasil yg buruk. Jgn lupa byk juga Pejabat di atas sana yg gak sesuai kompetensinya makanya nih negara gak maju2. Coba aja kayak Canada, Menterinya rata2 lulusan yg sesuai bidangnya saat mereka jadi Menteri.",2026-04-18 12:13:34,salah satu contoh kasus masyarakat org yg minta hitung yg bukan kompetensi akibat hasil yg buruk jgn lupa byk jabat atas sana yg gak sesuai kompetensi makanya nih negara gak maju coba aja kayak canada menteri rata lulus yg sesuai bidang mereka jadi menteri
YouTube,"Bang Den, Sebelum Kasus Amsal ini banyak kasus kasus yang dibuat oleh kejaksaan, dengan mengkambing hitamkan seseorang. CONTOH KASUS Kadis Kehutanan Humbanghasudutan, awal mulanya bukan karena korupsi namun karena kebencian dari Istri Kejaksaan karena ditegor oleh Dinas Kehutanan agar tidak membuat lingkungan kotor. Karena kebencian istri dari dari individu kejaksaan, segala hal cara dicari untuk menjebloskan kadis kehutanan humbanghas. TRUE STORY BANG DEN.",2026-04-18 12:13:34,bang den kasus amsal banyak kasus kasus buat jaksa kambing hitam orang contoh kasus kad hutan humbanghasudutan awal mula bukan korupsi benci istri jaksa ditegor dinas hutan tidak buat lingkung kotor karena benci istri dari individu jaksa segala cara cari jeblos kad hutan humbanghas true story bang den
YouTube,Harus diselidiki juga Jaksanya ini berbuat begitu motif nya apa? Karena kasus seperti ini nantinya bisa terjadi lagi kalau gak diselidiki sampai tuntas.,2026-04-18 12:13:34,selidik jaksa buat motif nya apa kasus ini nanti jadi kalau gak selidik tuntas
YouTube,Bang Amsal memang keliatan banget didikan anak Pendeta. Dia lebih memilih memaafkan dan menebarkan cinta kasih. ,2026-04-18 12:13:34,bang amsal memang liat banget dik anak pendeta lebih pilih maaf tebar cinta kasih
YouTube,"Sekali kerja berkaitan dengan pemerintah, malah difitnah dan dihancurin hidup org yg lagi berjuang",2026-04-18 12:13:34,sekali kerja kait perintah malah fitnah dihancurin hidup org yg juang
YouTube,"Dari podcast ini kok Saya jadi ingat sama si Agus yang di tolong justru menggigit balik, sedangkan si amsal ini berlapang dada dan berjiwa besar menerima walaupun jelas di kriminalisasi, semangat pasti si amsal ke depan akan menjadi orang besar",2026-04-18 12:13:34,podcast kok jadi ingat sama si agus justru gigit balik si amsal lapang dada jiwa besar terima walaupun jelas di kriminalisasi semangat si amsal depan jadi orang besar
YouTube,Info nya masih ada 2 pekerja kreatif yang masih disell selain om amsal... BONGKAR SEMUA.. biar melek tuh semua bahwa kita pekerja kreatif bukan profesi receh.. tapi kita pekerja profesional... jangan anggap remeh pekerjaan kita!,2026-04-18 12:13:34,info nya ada kerja kreatif masih disell om amsal bongkar semua biar melek tuh semua kerja kreatif bukan profesi receh kita kerja profesional jangan anggap remeh kerja kita
YouTube,Kata nya jaksa adalah penegak hukum dan pelindung sila ke 4 teryata jaksa selama ini adalah sarang kecoak,2026-04-18 12:13:34,kata nya jaksa tegak hukum lindung sila teryata jaksa lama adalah sarang kecoak
YouTube,No viral no justice itulah hukum indonesia sekarang yg punya kekuatan buat hukum adalah netizen.mau percaya sama siapa sekarang rakyat.polisi.hakim. pejabat .sekarang hanya harapan para netizen yg bisa bikin keadilan buat yg terintimidasi oleh oknum......NO VIRAL NO JUSTICE.,2026-04-18 12:13:34,no viral no justice hukum indonesia sekarang yg punya kuat buat hukum netizenmau percaya sama siapa sekarang rakyatpolisihakim jabat sekarang harap netizen yg bikin adil buat yg intimidasi oknumno viral no justice
YouTube,"Kt pak mahfud di podcastnya bs jd ini bagian dr setor kasus kejaksaan aja, krn mrk ada target setoran kasus utk naek pangkat dll. Jd yah dicari² aja kesalahannya",2026-04-18 12:13:34,kt pak mahfud podcastnya bs jd bagi dr setor kasus jaksa aja krn mrk target setor kasus utk naek pangkat jd yah cari aja salah
YouTube,Bang Denny Undang Daffa Anak Bojonegoro Dengan Tingkat kecerdasan Sains diatas rata rata.,2026-04-18 12:13:34,bang denny undang daffa anak bojonegoro tingkat cerdas sains atas rata rata
YouTube,Mama Karo Memang Paling Bestttt Pemenang sesungguhnya gak perlu koar koar sana sini menjelaskan kalau lawannya lemah!cukup terangkan inti masalahnya tanpa menjelek2kan pribadi seseorang.,2026-04-18 12:13:34,mama karo memang paling bestttt menang sungguh gak perlu koar koar sana sini jelas kalau lawan lemahcukup terang inti masalah jelek pribadi orang
YouTube,Rencana Tuhan pasti indah pd waktunya. Inspirasi bgm kalau kita selalu mengandalkan Tuhan. Puji Tuhan,2026-04-18 12:13:34,rencana tuhan indah pd waktu inspirasi bgm kalau selalu andal tuhan puji tuhan
YouTube,salah ketik = jadi kejari kasih brownis lewat rekan = jadi jaksa,2026-04-18 12:13:34,salah ketik jadi kejar kasih brownis lewat rekan jadi jaksa
YouTube,"Bang Amsal ini definisi Tampan Cerdas & Pemberani..  Tekadnya itu lho keren.. mentalnya gak kaleng""..  Respect bang Amsal.. Respect juga buat anda para netizen yg kritis.. Sukses ya kedepannya..",2026-04-18 12:13:34,bang amsal definisi tampan cerdas berani tekad lho keren mental gak kaleng respect bang amsal respect buat para netizen yg kritis sukses depan
YouTube,Sumpah ini orang KERENNNNNN️,2026-04-18 12:13:34,sumpah orang kerennnnnn
YouTube,"Tuhan yesus baik banget,melindungi keluarga dan anak"" nya Amin",2026-04-18 12:13:34,tuhan yesus baik bangetmelindungi keluarga anak nya amin
YouTube,"If creativity /  idea  = nol, editing = nol , yang menuduh mulai hari ini harus bekerja sebagai penuntut harus digaji Nol : biar adil !!!!",2026-04-18 12:13:34,if creativity idea nol editing nol tuduh mulai hari kerja tuntut harus gaji nol biar adil
YouTube,"Mungkin karena bang Amsal gak ngasih ""bagian""  dari project ke mereka² itu",2026-04-18 12:13:34,mungkin bang amsal gak ngasih bagi project mereka
YouTube,"Keren pemikiranmu, bro Amsal. Jaga la selalu integritasmu, bro",2026-04-18 12:13:34,keren pikir bro amsal jaga la selalu integritas bro
YouTube,"Pengalaman di Penjara: Amsal menceritakan pengalamannya selama 131 hari di rutan, mulai dari kondisi kamar yang sangat overcapacity (130 orang dalam ruangan 7x7 meter) hingga istilah ""angsa"" bagi tahanan kasus tipikor",2026-04-18 12:13:34,alam penjara amsal cerita alam lama hari rutan mulai kondisi kamar sangat overcapacity orang ruang x meter hingga istilah angsa tahan kasus tipikor
YouTube,"""Aku percaya semua pasti mendatangkan kebaikan. Tuhan, engkau baik"". Luar biasa!! Di saat wawancara Sitepu ini bersaksi bahwa Tuhan baik walaupun dijadikan tersangka. Puji Tuhan. Maju terus bro Amsal, Tuhan memberkatimu selalu!",2026-04-18 12:13:34,aku percaya semua datang baik tuhan engkau baik luar biasa saat wawancara sitepu saksi tuhan baik walaupun jadi sangka puji tuhan maju terus bro amsal tuhan berkat selalu
YouTube,Keren Pak Amsal...jaksa udh terlalu over power...evaluasi UU Kejaksaan,2026-04-18 12:13:34,keren pak amsaljaksa udh terlalu over powerevaluasi uu jaksa
YouTube,"Biarpun katanya JAKSA ahli HUKUM dan MENGERTI HUKUM, tapi KEBENARAN tetap MENEMUKAN JALANNYA sendiri ... Bg AMSAL keren bang.. LAWAN TERUS",2026-04-18 12:13:34,biarpun kata jaksa ahli hukum erti hukum benar tetap temu jalan sendiri bg amsal keren bang lawan terus
YouTube,"Penjarakan jaksa , biar kerja bener anjim",2026-04-18 12:13:34,penjara jaksa biar kerja bener anjim
YouTube,Bersih banget hatimu bang... smoga org2 yg memenjarakanmu cepet masuk neraka ,2026-04-18 12:13:34,bersih banget hati bang smoga org yg penjara cepet masuk neraka
YouTube,Auditor nya juga harus di penjarakan itu,2026-04-18 12:13:34,auditor nya harus penjara
YouTube,"mama amsal kam hebat , kami putra putri Karo bangga sama kam ",2026-04-18 12:13:34,mama amsal kam hebat putra putri karo bangga sama kam
YouTube,Tuhan mmg turut bekerja  utk mendatangkan kebaikan. Praise the Lord,2026-04-18 12:13:34,tuhan mmg turut kerja utk datang baik praise the lord
YouTube,"Salut sama bang Amsal. Dia pantas jadi orang besar krn kebesaran hatinya. Kau Menginspirasi, bang",2026-04-18 12:13:34,salut sama bang amsal pantas jadi orang besar krn besar hati kau inspirasi bang
YouTube,Ya emang patut di pertanyakan kompetensinya di semua lini pemerintahan,2026-04-18 12:13:34,emang patut tanya kompetensi semua lini perintah
YouTube,Di paksa sehat di negara yang sakit ,2026-04-18 12:13:34,paksa sehat negara sakit
YouTube,"Saya juga lahir di Tanah Karo,Kabanjahe,, maju Kam terus Amsal,,mejuah juah kebenaran akan terjawab bagi orang yang jolim,,kepada masyarakat kecil,, sehat sehat kerina man Keluarga,ndu Amsal, kita Tading i simpang Enam K.jahe,",2026-04-18 12:13:34,juga lahir tanah karokabanjahe maju kam terus amsalmejuah juah benar jawab orang jolimkepada masyarakat kecil sehat sehat kerina man keluargandu amsal tading i simpang enam kjahe
YouTube,Waktu ketemu para jaksa di pesawat supaya ada bahan pembicaraan seharusnya lu tawarin brownies lah bang.,2026-04-18 12:13:34,waktu ketemu jaksa pesawat ada bahan bicara lu tawarin brownies lah bang
YouTube,Doi dijebak neh... puji Tuhan Doi menang !,2026-04-18 12:13:34,doi jebak neh puji tuhan doi menang
YouTube,"Alhamdulillah dengan adanya sosial media, ketidakadilan yang diterima oleh saudara amsal tereskalasi sampai DPR Terima kasih sudah berjuang untuk keadilan, Satu yang masih mengganjal, orang yang inkompeten tsb harus menerima konsekuensinya",2026-04-18 12:13:34,alhamdulillah ada sosial media ketidakadilan terima saudara amsal eskalasi dpr terima kasih juang adil satu masih ganjal orang inkompeten tsb terima konsekuensi
YouTube,Bang densu tolong ada terdakwa lain juga yg sama seperti bg amsal tp gak viral.,2026-04-18 12:13:34,bang densu ada dakwa juga yg sama bg amsal tp gak viral
YouTube,Mudah mudahan pekerja ekonomi kreatif bisa lebih maju dan memberikan dampak yang baik di seluruh masyarakat Indonesia,2026-04-18 12:13:34,mudah mudah kerja ekonomi kreatif lebih maju beri dampak baik seluruh masyarakat indonesia
YouTube,"Di Sumut banyak kriminalisasi, asal sudah masuk status bisa cepat berubah dengan alasan prosedur kerja, beragam modus dikerjakan, ujung-ujungnya duit. Belum jatuh vonis merekalah penyidik, merekalah penuntut dan merekalah hakimnya demi DUIT HARAM",2026-04-18 12:13:34,sumut banyak kriminalisasi asal masuk status cepat ubah alas prosedur kerja agam modus kerja ujungujungnya duit jatuh vonis mereka sidik mereka tuntut mereka hakim duit haram
YouTube,Pemerintah harus benar2 menyoroti kasus ini Agar kedepannya tidak ada atau mengurangi orang2 yg ekonomi lemah yg tidak bisa melakukan perlawanan  yg akhir dipenjara tanpa kejelasan hukum  Tidak menutup kemungkinan kasus ini terjadi dalam perkara lain dan bisa kita pastikan tidak semua masyarakat se Kritis dan punya power untuk melakukan perlawanan hukum seperti bg amsal ini,2026-04-18 12:13:34,perintah benar sorot kasus agar depan ada kurang orang yg ekonomi lemah yg laku lawan yg akhir penjara jelas hukum tutup mungkin kasus jadi perkara bisa kita pasti semua masyarakat se kritis dan punya power laku lawan hukum bg amsal
YouTube,"Betul , auditor dari jaksa pasti akan ditemukan oleh netizen . Krn netizen kita orngnya luar biasa . Auditornya seharusnya dikasih pelajaran dan di tuntun gara2 dia orang yg tdk bersalah jd tersangka.",2026-04-18 12:13:34,betul auditor jaksa akan temu netizen krn netizen orngnya luar biasa auditor kasih ajar di tuntun gara orang yg tdk salah jd sangka
YouTube,"tolong undang ahlinya ahli bang, yang kasih perhitungannya  ide 0 rupiah, dubing 0 rupiah.",2026-04-18 12:13:34,undang ahli ahli bang kasih hitung ide rupiah dubing rupiah
YouTube,"Semangat bang Amsal sitepu, kita tetap mendukung , salam mejuah - juah .",2026-04-18 12:13:34,semangat bang amsal sitepu tetap dukung salam mejuah juah
YouTube,"Dari podcast ini kita bs tau knp Tuhan memilih bang Amsal dgn segala pergulatan ini. Abang hebat, pikiran dan hati abang bs di tata dgn baik walopun sdh ada di tengah2 pertarungan. Keluarga abang hebat, sangat supportive. Terimakasih sdh sharing bang, terimakasih sdh berjuang untuk diri abang dan untuk para ekonomi kreatif di negri ini.",2026-04-18 12:13:34,podcast kita bs tau knp tuhan pilih bang amsal dgn segala gulat abang hebat pikir hati abang bs tata dgn baik walopun sdh tengah tarung keluarga abang hebat sangat supportive terimakasih sdh sharing bang terimakasih sdh juang diri abang untuk ekonomi kreatif di negri
